iter	Passed	Remaining
906	21302	2184
907	21320	2160
908	21342	2136
909	21370	2113
910	21394	2090
911	21421	2066
912	21436	2042
913	21451	2018
914	21467	1994
915	21489	1970
916	21504	1946
917	21525	1922
918	21540	1898
919	21557	1874
920	21574	1850
921	21588	1826
922	21607	1802
923	21625	1778
924	21641	1754
925	21662	1731
926	21676	1707
927	21690	1682
928	21705	1658
929	21723	1635
930	21739	1611
931	21753	1587
932	21769	1563
933	21788	1539
934	21805	1515
935	21821	1492
936	21835	1468
937	21853	1444
938	21869	1420
939	21885	1396
940	21899	1373
941	21919	1349
942	21934	1325
943	21952	1302
944	21966	1278
945	21984	1254
946	21999	1231
947	22016	1207
948	22033	1184
949	22048	1160
950	22064	1136
951	22080	1113
952	22097	1089
953	22122	1066
954	22141	1043
955	22167	1020
956	22190	997
957	22217	974
958	22249	951
959	22278	928
960	22309	905
961	22344	882
962	22369	859
963	22386	836
964	22408	812
965	22429	789
966	22448	766
967	22468	742
968	22487	719
969	22500	695
970	22525	672
971	22542	649
972	22556	625
973	22570	602
974	22650	580
975	22664	557
976	22679	533
977	22758	511
978	22774	488
979	22790	465
980	22805	441
981	22822	418
982	22835	394
983	22853	371
984	22870	348
985	22888	324
986	22903	301
987	22921	278
988	22937	255
989	22954	231
990	22970	208
991	22991	185
992	23008	162
993	23025	138
994	23045	115
995	23059	92
996	23077	69
997	23099	46
998	23116	23
999	23135	0
